Subject,Trial,Gain,Loss,GainOnLeft,Fontsize,Choice,RT,AcceptKey,EV
4,20,4,6,0,0,0,0.94588010001462,2,-1
4,21,3,8,1,1,0,1.30604369996581,2,-2.5
4,22,5,9,1,0,0,0.891065600095317,2,-2
4,23,8,6,1,0,0,1.64815859997179,2,1
4,24,5,6,0,1,0,1.59925219998695,2,-0.5
4,25,4,9,0,1,0,1.12205649993848,2,-2.5
4,26,9,4,1,1,1,1.29048650001641,2,2.5
4,27,3,6,1,1,0,1.03479940001853,2,-1.5
4,28,6,9,1,1,0,1.3138842000626,2,-1.5
4,29,5,7,1,1,0,0.830057400045916,2,-1
4,30,6,5,1,1,0,0.766806800034828,2,0.5
4,31,7,5,1,0,0,1.3960562000284,2,1
4,32,3,5,1,0,0,1.12404600006994,2,-1
4,33,9,9,1,1,0,0.771641300059855,2,0
4,34,9,7,0,1,0,1.52976930001751,2,1
4,35,9,7,0,0,0,1.13177259999793,2,1
4,36,8,3,0,0,1,1.32836619997397,2,2.5
4,37,3,6,1,0,0,1.38681519997772,2,-1.5
4,38,6,9,1,0,0,0.805225300020538,2,-1.5
4,39,5,3,1,1,0,0.991283599985763,2,1
4,40,4,5,1,1,0,1.655037599965,2,-0.5
4,41,8,7,1,0,0,1.08064739999827,2,0.5
4,42,8,8,1,0,0,0.660251499968581,2,0
4,43,3,4,1,0,0,1.19973689992912,2,-0.5
4,44,8,6,1,1,0,1.10226479999255,2,1
4,45,4,8,0,0,0,1.05293530004565,2,-2
4,46,3,3,1,0,0,1.12950939999428,2,0
4,47,9,5,0,0,1,1.06716209999286,2,2
4,48,3,5,1,1,0,1.82509079994634,2,-1
4,49,7,6,1,1,0,1.21998880000319,2,0.5
4,50,5,5,1,0,0,1.15392939990852,2,0
4,51,8,3,0,1,1,0.984743500011973,2,2.5
4,52,6,7,0,0,0,1.54444830003195,2,-0.5
4,53,5,4,0,1,0,1.07620849995874,2,0.5
4,54,5,9,1,1,0,1.5765522000147,2,-2
4,55,5,7,1,0,0,1.06967740005348,2,-1
4,56,9,4,1,0,1,1.3141569000436,2,2.5
4,57,3,4,1,1,0,1.1046464999672,2,-0.5
4,58,9,8,1,0,0,1.30138379998971,2,0.5
4,59,7,9,0,1,0,1.78097630001139,2,-1
4,60,3,7,1,0,0,1.03337540000211,2,-2
4,61,7,8,1,0,0,1.08138900005724,2,-0.5
4,62,6,7,0,1,0,1.35089280002285,2,-0.5
4,63,3,9,1,0,0,1.0087583999848,2,-3
4,64,9,8,1,1,0,1.41392690001521,2,0.5
4,65,3,8,1,0,0,1.17531560000498,2,-2.5
4,66,4,7,1,0,0,0.701231900020503,2,-1.5
